"Authority_ID","Region","Coastal","Population_Size","Annual_Maintenance_Budget","Defense_Count","Budget_Per_Defense","Average_Condition","Flood_Incidents","Defenses_Above_Required","Risk_Level"
"LA1","East","Inland","Medium",952.768496934422,68,14.0113014255062,3.20722199502825,33,87.008644252591,"High"
"LA2","East","Coastal","Large",2084.82646711564,228,9.14397573296333,3.41607504631845,44,80.202710069213,"High"
"LA3","South","Inland","Small",526.190506929163,27,19.4885372936727,2.96534982550339,32,95.0528282603259,"High"
"LA4","South","Inland","Large",2078.90794847344,152,13.677025976799,2.9145846929912,31,89.9659438953979,"High"
"LA5","East","Inland","Medium",1056.0308676972,68,15.5298657014294,2.59935526316284,29,100,"High"
"LA6","Central","Inland","Small",562.919242567404,27,20.8488608358298,2.47121005004035,26,98.6223741059982,"High"
"LA7","West","Inland","Small",571.582910643055,27,21.1697374312243,2.71789333437123,29,90.1781972670678,"High"
"LA8","North","Coastal","Small",577.80502030163,40,14.4451255075408,3.19625352547597,48,92.1249820426819,"High"
"LA9","South","Coastal","Small",627.244442745942,40,15.6811110686486,2.72205462251276,38,99.2634076061162,"High"
"LA10","East","Inland","Small",539.817457274436,27,19.9932391583125,2.64833788280484,26,100,"High"
"LA11","Central","Inland","Large",2059.01345432682,152,13.5461411468869,3.00142573014995,32,90.2972550598975,"High"
"LA12","East","Coastal","Medium",1057.27034095052,102,10.3653954995149,3.17862430336404,41,92.05252766186,"High"
"LA13","East","Coastal","Medium",951.4273334851,102,9.32771895573628,3.05420886494084,41,98.7929179712785,"High"
"LA14","North","Coastal","Medium",937.332195833371,102,9.18953133169972,3.35172640874817,47,81.5580612498419,"High"
"LA15","West","Inland","Large",2046.82515590225,152,13.4659549730411,2.59758559282259,26,91.433532579772,"High"
"LA16","North","Inland","Small",501.384862705786,27,18.5698097298439,3.14646596225952,34,85.873922919119,"High"
"LA17","North","Coastal","Medium",944.786820365465,102,9.26261588593593,3.00279136587796,41,88.873966482514,"High"
"LA18","Central","Inland","Medium",1004.38478518869,68,14.770364488069,2.78904545948945,31,94.9774933327576,"High"
"LA19","East","Inland","Small",621.113055768162,27,23.0041872506727,2.85779373656126,31,100,"High"
"LA20","South","Inland","Medium",1008.86491202214,68,14.836248706208,2.87822965554421,31,90.8046874265891,"High"
"LA21","South","Coastal","Small",547.437783966913,40,13.6859445991728,3.03024407702015,42,91.2601417386216,"High"
"LA22","North","Coastal","Small",568.608145690906,40,14.2152036422726,3.05930598164065,42,87.6754600427093,"High"
"LA23","East","Inland","Medium",938.255671146361,68,13.7978775168583,3.16553295222184,33,86.7915944981884,"High"
"LA24","West","Inland","Large",2072.77790376772,152,13.6366967353139,2.62594622561727,26,99.051363805186,"High"
"LA25","North","Coastal","Small",609.853173770522,40,15.246329344263,2.90321581847017,43,98.5767571107816,"High"
"LA26","East","Inland","Large",2057.85918291624,152,13.5385472560279,3.26845806971736,36,85.2374304931068,"High"
"LA27","Central","Inland","Small",663.385347096299,27,24.5698276702333,2.62977931790245,28,100,"High"
"LA28","West","Inland","Medium",968.969514632072,68,14.2495516857658,2.4470599190556,24,100,"High"
"LA29","South","Inland","Small",576.347590153136,27,21.3462070427088,2.41373043915644,26,100,"High"
"LA30","Central","Inland","Medium",936.559109093386,68,13.7729280749027,2.62211451613315,27,94.6857369164151,"High"
"LA31","North","Inland","Medium",944.766059842201,68,13.8936185270912,3.23421969559599,36,93.4500121590537,"High"
"LA32","North","Inland","Medium",907.634687715103,68,13.3475689369868,3.04614765948709,30,87.1722631137882,"High"
"LA33","South","Coastal","Large",2099.49254242778,228,9.20830062468325,2.9327544881573,39,90.8159893986053,"High"
"LA34","East","Inland","Small",586.569769067899,27,21.724806261774,3.07455301293982,31,95.5291910797744,"High"
"LA35","West","Coastal","Small",581.835866029745,40,14.5458966507436,3.18875199926515,42,92.6953795454249,"High"
"LA36","Central","Inland","Small",526.543824468938,27,19.5016231284792,2.6161871153702,29,92.2262983305398,"High"
"LA37","Central","Inland","Small",526.189550278976,27,19.4885018621843,2.59471860014198,32,93.7402729950731,"High"
"LA38","East","Coastal","Large",2083.52887592927,228,9.13828454354945,2.65796968273605,38,90.0502110484259,"High"
"LA39","North","Coastal","Small",640.423682313993,40,16.0105920578498,3.05975959823907,42,89.7140439983178,"High"
"LA40","South","Inland","Medium",916.620313297077,68,13.4797104896629,2.65083288352426,29,97.8075466691072,"High"
"LA41","Central","Coastal","Small",556.668069102666,40,13.9167017275666,2.46603106616352,37,100,"High"
"LA42","Central","Coastal","Medium",1068.60358541431,102,10.476505739356,2.65925369639693,35,99.5757146431542,"High"
"LA43","West","Coastal","Medium",968.436750063924,102,9.49447794180318,3.1080438551307,40,84.8296586674609,"High"
"LA44","Central","Inland","Small",497.628613630606,27,18.4306893937261,2.21714340832502,26,100,"High"
"LA45","South","Inland","Small",532.382177057972,27,19.7178584095545,2.61736555846337,28,100,"High"
"LA46","North","Inland","Small",589.893647766919,27,21.8479128802563,3.00484832791398,30,93.658339954752,"High"
"LA47","North","Inland","Small",546.840505238187,27,20.2533520458588,2.81882496553042,30,86.0776680027481,"High"
"LA48","East","Coastal","Large",2080.54499366893,228,9.1251973406532,3.07552861509331,42,88.0136904438873,"High"
"LA49","North","Coastal","Small",548.424787115253,40,13.7106196778813,3.14517978734433,43,82.6166651393308,"High"
"LA50","Central","Coastal","Small",570.145481178637,40,14.2536370294659,2.65085639785014,35,86.6291166902873,"High"
"LA51","North","Inland","Small",645.546087378967,27,23.9091143473691,2.4677292177743,26,100,"High"
"LA52","South","Inland","Medium",969.05723872342,68,14.2508417459327,3.271783211714,33,84.168277219427,"High"
"LA53","West","Inland","Medium",1027.52546913794,68,15.1106686637932,2.80783346186843,30,93.356484425066,"High"
"LA54","West","Inland","Large",2140.17651762895,152,14.0801086686115,2.98943756963142,32,91.2920113163778,"High"
"LA55","East","Inland","Medium",967.803499555058,68,14.2324044052214,3.0124292541551,31,94.163740738881,"High"
"LA56","North","Inland","Large",2031.99371170189,152,13.3683796822493,3.27125085014118,34,85.6029705195934,"High"
"LA57","South","Coastal","Small",539.56478294405,40,13.4891195736012,2.92864069353881,41,88.3450069148563,"High"
"LA58","North","Inland","Small",541.127126164752,27,20.0417454135093,2.9576239116192,32,87.1735255080095,"High"
"LA59","South","Coastal","Small",567.978370459752,40,14.1994592614938,2.83363896182676,41,92.6682067982588,"High"
"LA60","West","Inland","Small",630.630582705017,27,23.3566882483339,2.57735135129188,28,100,"High"
"LA61","Central","Coastal","Small",680.27459751323,40,17.0068649378308,2.80131595280156,36,88.7752791804587,"High"
"LA62","Central","Inland","Large",2186.01786479561,152,14.3816964789185,2.56397536743394,29,97.7989483071092,"High"
"LA63","East","Coastal","Small",558.963100605228,40,13.9740775151307,3.44361389560634,49,85.9640583887129,"High"
"LA64","North","Inland","Small",477.794279043794,27,17.6960844090294,2.69282937677207,29,95.6020120083862,"High"
"LA65","West","Coastal","Large",2089.19981864283,228,9.16315709931066,2.81557098041369,37,90.1964770537542,"High"
"LA66","North","Inland","Large",2113.09917300008,152,13.9019682434216,3.22605629011763,36,84.0991483555196,"High"
"LA67","North","Coastal","Medium",1015.73614453374,102,9.95819749542879,3.20244453442144,44,91.524352038381,"High"
"LA68","East","Coastal","Small",613.747047245889,40,15.3436761811472,2.82866703048553,38,96.1768791963601,"High"
"LA69","West","Coastal","Small",599.836120292499,40,14.9959030073125,2.65068482148537,37,100,"High"
"LA70","North","Inland","Small",495.856931331702,27,18.3650715308038,3.0452444256341,34,89.7906007731268,"High"
"LA71","East","Inland","Medium",1015.96764661203,68,14.9407006854711,2.94773151051191,31,93.096745272214,"High"
"LA72","Central","Inland","Small",543.292788000314,27,20.1219551111228,2.24072420143596,23,100,"High"
"LA73","East","Inland","Medium",982.225629338427,68,14.4444945490945,2.96246526793582,31,93.7775479859352,"High"
"LA74","South","Inland","Small",569.348207680362,27,21.0869706548282,2.72717635659021,28,92.9248051572496,"High"
"LA75","Central","Coastal","Small",587.028987070201,40,14.675724676755,2.68818803262882,37,89.1334118239449,"High"
"LA76","Central","Inland","Large",2109.87256098772,152,13.880740532814,2.45018918615132,28,100,"High"
"LA77","East","Inland","Large",2025.26505696713,152,13.324112216889,3.06198553349164,33,98.4895454188245,"High"
"LA78","South","Inland","Medium",1010.31029256904,68,14.8575043024858,3.02713898436699,32,93.4617920105255,"High"
"LA79","South","Coastal","Medium",992.786822747848,102,9.73320414458675,2.8939152391901,41,97.9479621659294,"High"
"LA80","South","Coastal","Small",552.338067557764,40,13.8084516889441,2.53479778903569,36,100,"High"
"LA81","West","Coastal","Large",2114.54603739875,228,9.27432472543312,2.82012765880729,37,90.5546609322731,"High"
"LA82","South","Coastal","Small",572.322581090099,40,14.3080645272525,2.8261400786382,38,92.4659941516847,"High"
"LA83","South","Coastal","Small",576.671622249726,40,14.4167905562431,2.62642296817391,34,96.1053001024621,"High"
"LA84","West","Inland","Medium",1055.52780262924,68,15.5224676857241,2.4132460561397,27,99.3915799782955,"High"
"LA85","West","Inland","Small",554.668129875002,27,20.5432640694445,2.9714175233112,34,94.0924859534246,"High"
"LA86","North","Inland","Medium",981.888763524597,68,14.4395406400676,2.88970907127442,31,86.2190010626845,"High"
"LA87","East","Inland","Medium",1031.90468798382,68,15.1750689409385,2.83353725643696,31,97.6610855318247,"High"
"LA88","East","Inland","Medium",1026.19454549921,68,15.0910962573413,3.24986915922749,34,89.3233792465796,"High"
"LA89","North","Inland","Medium",1030.74864984938,68,15.158068380138,2.89359033027754,31,86.1350815991055,"High"
"LA90","East","Coastal","Large",2079.76541179344,228,9.12177812190105,3.17792852681885,43,89.6388894531257,"High"
"LA91","Central","Inland","Large",2208.76294836106,152,14.5313351865859,2.40255007237039,27,100,"High"
"LA92","South","Inland","Large",2111.97385539293,152,13.8945648381114,2.69014587100409,31,93.4110051702101,"High"
"LA93","East","Inland","Large",2201.98140408176,152,14.4867197636958,2.94042159853575,32,95.4160892363254,"High"
"LA94","South","Coastal","Small",498.07551452014,40,12.4518878630035,2.54175083648509,33,95.2539740422011,"High"
"LA95","Central","Coastal","Large",2109.68799116413,228,9.25301750510583,2.58052017196716,34,100,"High"
"LA96","Central","Coastal","Large",2171.13454039488,228,9.52251991401262,2.69900649027421,35,97.2689937941486,"High"
"LA97","East","Inland","Large",2072.87670248528,152,13.6373467268768,3.09776572647802,35,96.3042624285555,"High"
"LA98","West","Inland","Medium",935.851045919478,68,13.7625153811688,2.53226553750329,27,92.0598356072496,"High"
"LA99","West","Coastal","Large",2061.71187666607,228,9.0425959502898,2.83962319265485,38,92.9510467162762,"High"
"LA100","West","Coastal","Large",2056.01314787948,228,9.0176015257872,3.06110527245122,45,86.1432686703475,"High"
